  6522: E[0:01:15]-R[0:00:40]: Return=     0.987, Steps=  14, Features = 16
  6628: E[0:01:16]-R[0:00:38]: Return=     0.987, Steps=  14, Features = 16
  6736: E[0:01:17]-R[0:00:37]: Return=     0.983, Steps=  18, Features = 16
  6842: E[0:01:18]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  6934: E[0:01:19]-R[0:00:35]: Return=     0.991, Steps=  10, Features = 16
  7000: >>> E[0:01:20]-R[0:00:34]: Return=    0.5736, Steps=7.36, Features = 16
  7100: E[0:01:21]-R[0:00:33]: Return=     0.993, Steps=   8, Features = 16
  7202: E[0:01:22]-R[0:00:32]: Return=     0.979, Steps=  22, Features = 16
  7308: E[0:01:23]-R[0:00:31]: Return=     0.993, Steps=   8, Features = 16
  7394: E[0:01:24]-R[0:00:30]: Return=    -1.001, Steps=   2, Features = 16
  7502: E[0:01:25]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 16
  7596: E[0:01:26]-R[0:00:27]: Return=     0.993, Steps=   8, Features = 16
  7690: E[0:01:27]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  7768: E[0:01:28]-R[0:00:25]: Return=     0.993, Steps=   8, Features = 16
  7876: E[0:01:29]-R[0:00:24]: Return=     0.989, Steps=  12, Features = 16
  7964: E[0:01:30]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
  8000: >>> E[0:01:31]-R[0:00:23]: Return=    0.6538, Steps= 7.2, Features = 16
  8096: E[0:01:32]-R[0:00:22]: Return=    -1.005, Steps=   6, Features = 16
  8206: E[0:01:33]-R[0:00:20]: Return=     0.993, Steps=   8, Features = 16
  8304: E[0:01:34]-R[0:00:19]: Return=    -1.001, Steps=   2, Features = 16
  8408: E[0:01:35]-R[0:00:18]: Return=     0.989, Steps=  12, Features = 16
  8510: E[0:01:36]-R[0:00:17]: Return=     0.993, Steps=   8, Features = 16
  8616: E[0:01:37]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  8718: E[0:01:38]-R[0:00:14]: Return=     0.989, Steps=  12, Features = 16
  8820: E[0:01:39]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
  8936: E[0:01:40]-R[0:00:12]: Return=     0.987, Steps=  14, Features = 16
  9000: >>> E[0:01:41]-R[0:00:11]: Return=     0.634, Steps=7.04, Features = 16
  9098: E[0:01:42]-R[0:00:10]: Return=     0.991, Steps=  10, Features = 16
  9198: E[0:01:43]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  9298: E[0:01:44]-R[0:00:08]: Return=    -1.005, Steps=   6, Features = 16
  9400: E[0:01:45]-R[0:00:07]: Return=     0.987, Steps=  14, Features = 16
  9502: E[0:01:46]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  9614: E[0:01:47]-R[0:00:04]: Return=    -1.003, Steps=   4, Features = 16
  9726: E[0:01:48]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 16
  9836: E[0:01:49]-R[0:00:02]: Return=     0.987, Steps=  14, Features = 16
  9944: E[0:01:50]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
 10000: >>> E[0:01:51]-R[0:00:00]: Return=    0.6535, Steps=7.54, Features = 16
Total Experiment Duration 0:01:51
Output:			./Results/Experiment5/
     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    26: E[0:00:00]-R[0:02:55]: Return=    -1.003, Steps=   4, Features = 16
    78: E[0:00:01]-R[0:03:06]: Return=    -1.015, Steps=  16, Features = 16
   152: E[0:00:03]-R[0:03:05]: Return=     0.963, Steps=  38, Features = 16
   210: E[0:00:04]-R[0:03:05]: Return=     0.991, Steps=  10, Features = 16
   260: E[0:00:05]-R[0:03:08]: Return=     0.989, Steps=  12, Features = 16
   310: E[0:00:06]-R[0:03:09]: Return=    -1.003, Steps=   4, Features = 16
   356: E[0:00:07]-R[0:03:11]: Return=     0.991, Steps=  10, Features = 16
   406: E[0:00:08]-R[0:03:10]: Return=    -1.001, Steps=   2, Features = 16
   464: E[0:00:09]-R[0:03:09]: Return=     0.987, Steps=  14, Features = 16
   514: E[0:00:10]-R[0:03:09]: Return=     0.993, Steps=   8, Features = 16
   574: E[0:00:11]-R[0:03:07]: Return=     0.987, Steps=  14, Features = 16
   624: E[0:00:12]-R[0:03:06]: Return=    -1.001, Steps=   2, Features = 16
   678: E[0:00:13]-R[0:03:04]: Return=     0.993, Steps=   8, Features = 16
   728: E[0:00:14]-R[0:03:04]: Return=    -1.001, Steps=   2, Features = 16
   790: E[0:00:16]-R[0:03:03]: Return=     0.987, Steps=  14, Features = 16
   846: E[0:00:17]-R[0:03:02]: Return=     0.993, Steps=   8, Features = 16
   900: E[0:00:18]-R[0:03:02]: Return=     0.991, Steps=  10, Features = 16
   952: E[0:00:19]-R[0:03:01]: Return=     0.995, Steps=   6, Features = 16
  1000: >>> E[0:00:20]-R[0:02:59]: Return=    0.5939, Steps=7.06, Features = 16
  1054: E[0:00:21]-R[0:02:58]: Return=     0.993, Steps=   8, Features = 16
  1112: E[0:00:22]-R[0:02:57]: Return=    -1.009, Steps=  10, Features = 16
  1166: E[0:00:23]-R[0:02:57]: Return=     0.989, Steps=  12, Features = 16
  1224: E[0:00:25]-R[0:02:56]: Return=     0.985, Steps=  16, Features = 16
  1270: E[0:00:26]-R[0:02:56]: Return=     0.989, Steps=  12, Features = 16
  1338: E[0:00:27]-R[0:02:54]: Return=     0.989, Steps=  12, Features = 16
  1388: E[0:00:28]-R[0:02:53]: Return=     0.991, Steps=  10, Features = 16
  1438: E[0:00:29]-R[0:02:52]: Return=    -1.001, Steps=   2, Features = 16
  1490: E[0:00:30]-R[0:02:51]: Return=     0.993, Steps=   8, Features = 16
  1552: E[0:00:31]-R[0:02:50]: Return=     0.989, Steps=  12, Features = 16
  1612: E[0:00:32]-R[0:02:49]: Return=     0.989, Steps=  12, Features = 16
  1668: E[0:00:34]-R[0:02:48]: Return=     0.989, Steps=  12, Features = 16
  1720: E[0:00:35]-R[0:02:47]: Return=     0.993, Steps=   8, Features = 16
  1770: E[0:00:36]-R[0:02:46]: Return=     0.995, Steps=   6, Features = 16
  1820: E[0:00:37]-R[0:02:45]: Return=     0.985, Steps=  16, Features = 16
  1884: E[0:00:38]-R[0:02:44]: Return=     0.985, Steps=  16, Features = 16
  1938: E[0:00:39]-R[0:02:42]: Return=     0.993, Steps=   8, Features = 16
  1996: E[0:00:40]-R[0:02:41]: Return=     0.989, Steps=  12, Features = 16
  2000: >>> E[0:00:40]-R[0:02:41]: Return=    0.5139, Steps= 7.1, Features = 16
  2062: E[0:00:41]-R[0:02:39]: Return=     0.983, Steps=  18, Features = 16
  2116: E[0:00:42]-R[0:02:38]: Return=     0.995, Steps=   6, Features = 16
  2170: E[0:00:44]-R[0:02:37]: Return=     0.993, Steps=   8, Features = 16
  2224: E[0:00:45]-R[0:02:36]: Return=     0.993, Steps=   8, Features = 16
  2276: E[0:00:46]-R[0:02:35]: Return=     0.991, Steps=  10, Features = 16
  2324: E[0:00:47]-R[0:02:34]: Return=    -1.003, Steps=   4, Features = 16
  2374: E[0:00:48]-R[0:02:33]: Return=     0.995, Steps=   6, Features = 16
  2426: E[0:00:49]-R[0:02:32]: Return=     0.995, Steps=   6, Features = 16
  2484: E[0:00:50]-R[0:02:31]: Return=     0.993, Steps=   8, Features = 16
  2534: E[0:00:51]-R[0:02:30]: Return=     0.991, Steps=  10, Features = 16
  2592: E[0:00:52]-R[0:02:29]: Return=     0.989, Steps=  12, Features = 16
  2652: E[0:00:53]-R[0:02:27]: Return=     0.987, Steps=  14, Features = 16
  2706: E[0:00:54]-R[0:02:26]: Return=     0.987, Steps=  14, Features = 16
  2752: E[0:00:55]-R[0:02:25]: Return=     0.991, Steps=  10, Features = 16
  2814: E[0:00:56]-R[0:02:24]: Return=     0.991, Steps=  10, Features = 16
  2866: E[0:00:57]-R[0:02:22]: Return=     0.991, Steps=  10, Features = 16
  2926: E[0:00:58]-R[0:02:21]: Return=     0.993, Steps=   8, Features = 16
  2980: E[0:00:59]-R[0:02:20]: Return=     0.993, Steps=   8, Features = 16
  3000: >>> E[0:01:00]-R[0:02:20]: Return=    0.6539, Steps=7.08, Features = 16
  3058: E[0:01:01]-R[0:02:18]: Return=     0.991, Steps=  10, Features = 16
  3116: E[0:01:02]-R[0:02:17]: Return=    -1.015, Steps=  16, Features = 16
  3168: E[0:01:03]-R[0:02:16]: Return=    -1.001, Steps=   2, Features = 16
  3220: E[0:01:04]-R[0:02:15]: Return=     0.989, Steps=  12, Features = 16
  3264: E[0:01:05]-R[0:02:14]: Return=     0.995, Steps=   6, Features = 16
  3316: E[0:01:06]-R[0:02:13]: Return=     0.995, Steps=   6, Features = 16
