     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps=3.61, Features = 100
    19: E[0:00:01]-R[0:44:30]: Return=    -1.004, Steps=   5, Features = 100
    53: E[0:00:02]-R[0:50:41]: Return=    -1.004, Steps=   5, Features = 100
    96: E[0:00:03]-R[0:50:58]: Return=    -1.012, Steps=  13, Features = 100
   152: E[0:00:04]-R[0:48:10]: Return=    -1.033, Steps=  34, Features = 100
   204: E[0:00:06]-R[0:46:30]: Return=    -1.036, Steps=  37, Features = 100
   251: E[0:00:07]-R[0:45:59]: Return=    -1.026, Steps=  27, Features = 100
   307: E[0:00:08]-R[0:45:40]: Return=    -1.023, Steps=  24, Features = 100
   374: E[0:00:10]-R[0:45:02]: Return=    -1.033, Steps=  34, Features = 100
   419: E[0:00:11]-R[0:44:46]: Return=    -1.009, Steps=  10, Features = 100
   460: E[0:00:12]-R[0:44:33]: Return=    -1.005, Steps=   6, Features = 100
   522: E[0:00:14]-R[0:44:24]: Return=    -1.033, Steps=  34, Features = 100
   594: E[0:00:16]-R[0:43:55]: Return=    -1.071, Steps=  72, Features = 100
   655: E[0:00:17]-R[0:43:43]: Return=    -1.045, Steps=  46, Features = 100
   704: E[0:00:19]-R[0:43:34]: Return=    -1.041, Steps=  42, Features = 100
   806: E[0:00:21]-R[0:43:03]: Return=    -1.101, Steps= 102, Features = 100
   868: E[0:00:23]-R[0:42:51]: Return=    -1.053, Steps=  54, Features = 100
  1052: E[0:00:27]-R[0:42:29]: Return=    -1.157, Steps= 158, Features = 100
  1118: E[0:00:29]-R[0:42:28]: Return=    -1.033, Steps=  34, Features = 100
  1231: E[0:00:32]-R[0:42:26]: Return=    -1.091, Steps=  92, Features = 100
  1316: E[0:00:34]-R[0:42:21]: Return=    -1.049, Steps=  50, Features = 100
  1365: E[0:00:35]-R[0:42:19]: Return=    -1.015, Steps=  16, Features = 100
  1436: E[0:00:37]-R[0:42:18]: Return=    -1.041, Steps=  42, Features = 100
  1481: E[0:00:38]-R[0:42:23]: Return=    -1.008, Steps=   9, Features = 100
  1523: E[0:00:39]-R[0:42:32]: Return=    -1.016, Steps=  17, Features = 100
  1564: E[0:00:41]-R[0:42:31]: Return=    -1.002, Steps=   3, Features = 100
  1657: E[0:00:43]-R[0:42:23]: Return=    -1.082, Steps=  83, Features = 100
  1755: E[0:00:45]-R[0:42:15]: Return=    -1.072, Steps=  73, Features = 100
  1825: E[0:00:47]-R[0:42:13]: Return=    -1.046, Steps=  47, Features = 100
  1867: E[0:00:48]-R[0:42:17]: Return=    -1.012, Steps=  13, Features = 100
  1904: E[0:00:49]-R[0:42:22]: Return=    -1.016, Steps=  17, Features = 100
  1944: E[0:00:50]-R[0:42:25]: Return=    -1.014, Steps=  15, Features = 100
  2030: E[0:00:53]-R[0:42:25]: Return=    -1.052, Steps=  53, Features = 100
  2100: E[0:00:55]-R[0:42:21]: Return=    -1.062, Steps=  63, Features = 100
  2149: E[0:00:56]-R[0:42:20]: Return=    -1.048, Steps=  49, Features = 100
  2226: E[0:00:58]-R[0:42:14]: Return=    -1.075, Steps=  76, Features = 100
  2318: E[0:01:00]-R[0:42:07]: Return=    -1.091, Steps=  92, Features = 100
  2378: E[0:01:01]-R[0:42:03]: Return=    -1.059, Steps=  60, Features = 100
  2429: E[0:01:03]-R[0:42:02]: Return=    -1.044, Steps=  45, Features = 100
