     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps=3.61, Features = 100
  2474: E[0:01:04]-R[0:42:03]: Return=    -1.011, Steps=  12, Features = 100
  2526: E[0:01:05]-R[0:42:03]: Return=    -1.023, Steps=  24, Features = 100
  2615: E[0:01:08]-R[0:41:54]: Return=    -1.088, Steps=  89, Features = 100
  2692: E[0:01:10]-R[0:41:55]: Return=     -1.06, Steps=  61, Features = 100
  2768: E[0:01:12]-R[0:41:52]: Return=    -1.063, Steps=  64, Features = 100
  2835: E[0:01:13]-R[0:41:47]: Return=    -1.037, Steps=  38, Features = 100
  2887: E[0:01:15]-R[0:41:47]: Return=     -1.02, Steps=  21, Features = 100
  2926: E[0:01:16]-R[0:41:46]: Return=        -1, Steps=   1, Features = 100
  2964: E[0:01:17]-R[0:41:46]: Return=    -1.014, Steps=  15, Features = 100
  3017: E[0:01:18]-R[0:41:44]: Return=    -1.033, Steps=  34, Features = 100
  3070: E[0:01:19]-R[0:41:41]: Return=    -1.052, Steps=  53, Features = 100
  3120: E[0:01:20]-R[0:41:39]: Return=    -1.036, Steps=  37, Features = 100
  3192: E[0:01:22]-R[0:41:38]: Return=    -1.038, Steps=  39, Features = 100
  3228: E[0:01:23]-R[0:41:39]: Return=    -1.014, Steps=  15, Features = 100
  3403: E[0:01:28]-R[0:41:32]: Return=    -1.162, Steps= 163, Features = 100
  3449: E[0:01:29]-R[0:41:34]: Return=     -1.02, Steps=  21, Features = 100
  3521: E[0:01:31]-R[0:41:31]: Return=    -1.064, Steps=  65, Features = 100
  3604: E[0:01:33]-R[0:41:33]: Return=    -1.049, Steps=  50, Features = 100
  3667: E[0:01:35]-R[0:41:34]: Return=    -1.028, Steps=  29, Features = 100
  3720: E[0:01:36]-R[0:41:33]: Return=    -1.018, Steps=  19, Features = 100
  3764: E[0:01:37]-R[0:41:31]: Return=    -1.043, Steps=  44, Features = 100
  3897: E[0:01:41]-R[0:41:23]: Return=    -1.132, Steps= 133, Features = 100
  3941: E[0:01:42]-R[0:41:21]: Return=    -1.028, Steps=  29, Features = 100
  4010: E[0:01:44]-R[0:41:18]: Return=    -1.068, Steps=  69, Features = 100
  4048: E[0:01:45]-R[0:41:18]: Return=    -1.028, Steps=  29, Features = 100
  4116: E[0:01:46]-R[0:41:17]: Return=    -1.036, Steps=  37, Features = 100
  4156: E[0:01:47]-R[0:41:16]: Return=    -1.013, Steps=  14, Features = 100
  4218: E[0:01:49]-R[0:41:15]: Return=    -1.045, Steps=  46, Features = 100
  4263: E[0:01:50]-R[0:41:14]: Return=    -1.034, Steps=  35, Features = 100
  4301: E[0:01:51]-R[0:41:15]: Return=    -1.011, Steps=  12, Features = 100
  4354: E[0:01:53]-R[0:41:13]: Return=    -1.052, Steps=  53, Features = 100
  4448: E[0:01:55]-R[0:41:08]: Return=    -1.072, Steps=  73, Features = 100
  4505: E[0:01:56]-R[0:41:06]: Return=    -1.029, Steps=  30, Features = 100
  4577: E[0:01:58]-R[0:41:03]: Return=    -1.061, Steps=  62, Features = 100
  4649: E[0:02:00]-R[0:41:00]: Return=     -1.04, Steps=  41, Features = 100
  4703: E[0:02:01]-R[0:40:58]: Return=    -1.052, Steps=  53, Features = 100
  4783: E[0:02:03]-R[0:40:55]: Return=    -1.079, Steps=  80, Features = 100
  4826: E[0:02:04]-R[0:40:54]: Return=    -1.008, Steps=   9, Features = 100
  4863: E[0:02:06]-R[0:40:56]: Return=     -1.01, Steps=  11, Features = 100
  4919: E[0:02:07]-R[0:40:53]: Return=     -1.04, Steps=  41, Features = 100
  4975: E[0:02:08]-R[0:40:52]: Return=    -1.041, Steps=  42, Features = 100
  5058: E[0:02:11]-R[0:40:50]: Return=    -1.048, Steps=  49, Features = 100
  5097: E[0:02:12]-R[0:40:49]: Return=    -1.038, Steps=  39, Features = 100
  5161: E[0:02:13]-R[0:40:47]: Return=    -1.024, Steps=  25, Features = 100
  5317: E[0:02:17]-R[0:40:40]: Return=    -1.125, Steps= 126, Features = 100
  5356: E[0:02:18]-R[0:40:39]: Return=    -1.015, Steps=  16, Features = 100
  5457: E[0:02:21]-R[0:40:35]: Return=    -1.077, Steps=  78, Features = 100
  5597: E[0:02:24]-R[0:40:29]: Return=    -1.139, Steps= 140, Features = 100
  5645: E[0:02:25]-R[0:40:28]: Return=    -1.015, Steps=  16, Features = 100
  5692: E[0:02:27]-R[0:40:28]: Return=    -1.039, Steps=  40, Features = 100
  5765: E[0:02:28]-R[0:40:25]: Return=    -1.038, Steps=  39, Features = 100
  5811: E[0:02:30]-R[0:40:25]: Return=    -1.009, Steps=  10, Features = 100
  5853: E[0:02:31]-R[0:40:23]: Return=    -1.008, Steps=   9, Features = 100
  5895: E[0:02:32]-R[0:40:23]: Return=    -1.006, Steps=   7, Features = 100
  5993: E[0:02:34]-R[0:40:20]: Return=    -1.093, Steps=  94, Features = 100
  6043: E[0:02:36]-R[0:40:19]: Return=    -1.021, Steps=  22, Features = 100
  6140: E[0:02:38]-R[0:40:15]: Return=    -1.076, Steps=  77, Features = 100
  6199: E[0:02:39]-R[0:40:13]: Return=    -1.055, Steps=  56, Features = 100
  6253: E[0:02:41]-R[0:40:13]: Return=    -1.027, Steps=  28, Features = 100
  6289: E[0:02:42]-R[0:40:13]: Return=    -1.002, Steps=   3, Features = 100
  6337: E[0:02:43]-R[0:40:13]: Return=    -1.043, Steps=  44, Features = 100
  6476: E[0:02:47]-R[0:40:07]: Return=    -1.127, Steps= 128, Features = 100
  6526: E[0:02:48]-R[0:40:06]: Return=    -1.016, Steps=  17, Features = 100
  6572: E[0:02:49]-R[0:40:05]: Return=    -1.036, Steps=  37, Features = 100
  6666: E[0:02:52]-R[0:40:01]: Return=    -1.072, Steps=  73, Features = 100
  6715: E[0:02:53]-R[0:39:59]: Return=    -1.048, Steps=  49, Features = 100
  6862: E[0:02:56]-R[0:39:53]: Return=    -1.119, Steps= 120, Features = 100
  6972: E[0:02:59]-R[0:39:49]: Return=    -1.083, Steps=  84, Features = 100
  7022: E[0:03:00]-R[0:39:48]: Return=    -1.026, Steps=  27, Features = 100
  7077: E[0:03:02]-R[0:39:46]: Return=    -1.047, Steps=  48, Features = 100
  7137: E[0:03:03]-R[0:39:45]: Return=    -1.052, Steps=  53, Features = 100
  7185: E[0:03:05]-R[0:39:44]: Return=    -1.037, Steps=  38, Features = 100
  7252: E[0:03:06]-R[0:39:41]: Return=    -1.044, Steps=  45, Features = 100
  7333: E[0:03:08]-R[0:39:39]: Return=    -1.079, Steps=  80, Features = 100
  7393: E[0:03:10]-R[0:39:37]: Return=    -1.038, Steps=  39, Features = 100
  7515: E[0:03:13]-R[0:39:32]: Return=    -1.121, Steps= 122, Features = 100
  7569: E[0:03:14]-R[0:39:31]: Return=    -1.053, Steps=  54, Features = 100
  7616: E[0:03:15]-R[0:39:30]: Return=    -1.008, Steps=   9, Features = 100
  7670: E[0:03:17]-R[0:39:29]: Return=    -1.016, Steps=  17, Features = 100
  7747: E[0:03:19]-R[0:39:26]: Return=    -1.063, Steps=  64, Features = 100
  7785: E[0:03:20]-R[0:39:26]: Return=    -1.034, Steps=  35, Features = 100
  7835: E[0:03:21]-R[0:39:25]: Return=    -1.023, Steps=  24, Features = 100
  7873: E[0:03:22]-R[0:39:25]: Return=    -1.018, Steps=  19, Features = 100
  7929: E[0:03:23]-R[0:39:23]: Return=    -1.046, Steps=  47, Features = 100
  7972: E[0:03:25]-R[0:39:21]: Return=    -1.016, Steps=  17, Features = 100
  8065: E[0:03:27]-R[0:39:19]: Return=    -1.083, Steps=  84, Features = 100
  8134: E[0:03:29]-R[0:39:16]: Return=    -1.068, Steps=  69, Features = 100
  8189: E[0:03:30]-R[0:39:15]: Return=    -1.052, Steps=  53, Features = 100
  8331: E[0:03:34]-R[0:39:10]: Return=    -1.136, Steps= 137, Features = 100
  8374: E[0:03:35]-R[0:39:08]: Return=    -1.042, Steps=  43, Features = 100
  8429: E[0:03:36]-R[0:39:07]: Return=    -1.024, Steps=  25, Features = 100
  8478: E[0:03:37]-R[0:39:06]: Return=    -1.038, Steps=  39, Features = 100
  8587: E[0:03:40]-R[0:39:02]: Return=    -1.102, Steps= 103, Features = 100
  8650: E[0:03:42]-R[0:38:59]: Return=    -1.061, Steps=  62, Features = 100
  8705: E[0:03:43]-R[0:38:58]: Return=    -1.046, Steps=  47, Features = 100
  8777: E[0:03:45]-R[0:38:55]: Return=    -1.054, Steps=  55, Features = 100
  8832: E[0:03:46]-R[0:38:52]: Return=    -1.054, Steps=  55, Features = 100
  8871: E[0:03:47]-R[0:38:52]: Return=     -1.01, Steps=  11, Features = 100
  8962: E[0:03:49]-R[0:38:48]: Return=     -1.09, Steps=  91, Features = 100
  9026: E[0:03:51]-R[0:38:45]: Return=    -1.063, Steps=  64, Features = 100
  9104: E[0:03:53]-R[0:38:43]: Return=    -1.068, Steps=  69, Features = 100
  9178: E[0:03:54]-R[0:38:40]: Return=    -1.064, Steps=  65, Features = 100
  9234: E[0:03:56]-R[0:38:39]: Return=    -1.042, Steps=  43, Features = 100
  9338: E[0:03:58]-R[0:38:35]: Return=    -1.103, Steps= 104, Features = 100
  9386: E[0:04:00]-R[0:38:33]: Return=    -1.012, Steps=  13, Features = 100
  9428: E[0:04:01]-R[0:38:32]: Return=     -1.04, Steps=  41, Features = 100
  9512: E[0:04:03]-R[0:38:30]: Return=    -1.083, Steps=  84, Features = 100
  9564: E[0:04:04]-R[0:38:28]: Return=    -1.022, Steps=  23, Features = 100
  9622: E[0:04:06]-R[0:38:26]: Return=    -1.057, Steps=  58, Features = 100
  9706: E[0:04:08]-R[0:38:23]: Return=    -1.083, Steps=  84, Features = 100
  9748: E[0:04:09]-R[0:38:22]: Return=    -1.041, Steps=  42, Features = 100
  9832: E[0:04:11]-R[0:38:19]: Return=    -1.055, Steps=  56, Features = 100
  9906: E[0:04:12]-R[0:38:16]: Return=    -1.073, Steps=  74, Features = 100
  9943: E[0:04:14]-R[0:38:16]: Return=    -1.004, Steps=   5, Features = 100
  9990: E[0:04:15]-R[0:38:15]: Return=    -1.046, Steps=  47, Features = 100
 10000: >>> E[0:04:15]-R[0:38:15]: Return=    -1.027, Steps=47.64, Features = 100
 10059: E[0:04:17]-R[0:38:14]: Return=    -1.031, Steps=  32, Features = 100
 10107: E[0:04:18]-R[0:38:13]: Return=     -1.04, Steps=  41, Features = 100
 10253: E[0:04:21]-R[0:38:08]: Return=    -1.145, Steps= 146, Features = 100
 10345: E[0:04:24]-R[0:38:06]: Return=    -1.088, Steps=  89, Features = 100
 10395: E[0:04:25]-R[0:38:05]: Return=     -1.03, Steps=  31, Features = 100
 10463: E[0:04:27]-R[0:38:02]: Return=    -1.061, Steps=  62, Features = 100
 10572: E[0:04:29]-R[0:37:58]: Return=    -1.084, Steps=  85, Features = 100
 10624: E[0:04:31]-R[0:37:57]: Return=    -1.016, Steps=  17, Features = 100
 10668: E[0:04:32]-R[0:37:57]: Return=     -1.01, Steps=  11, Features = 100
 10720: E[0:04:33]-R[0:37:56]: Return=    -1.034, Steps=  35, Features = 100
 10851: E[0:04:37]-R[0:37:52]: Return=    -1.109, Steps= 110, Features = 100
 10942: E[0:04:39]-R[0:37:50]: Return=    -1.051, Steps=  52, Features = 100
 10983: E[0:04:40]-R[0:37:50]: Return=     -1.02, Steps=  21, Features = 100
 11032: E[0:04:41]-R[0:37:49]: Return=    -1.043, Steps=  44, Features = 100
 11135: E[0:04:44]-R[0:37:48]: Return=    -1.072, Steps=  73, Features = 100
 11202: E[0:04:46]-R[0:37:47]: Return=     -1.06, Steps=  61, Features = 100
 11278: E[0:04:48]-R[0:37:46]: Return=    -1.068, Steps=  69, Features = 100
 11342: E[0:04:50]-R[0:37:44]: Return=     -1.03, Steps=  31, Features = 100
 11395: E[0:04:51]-R[0:37:43]: Return=    -1.027, Steps=  28, Features = 100
 11486: E[0:04:53]-R[0:37:40]: Return=     -1.09, Steps=  91, Features = 100
 11584: E[0:04:56]-R[0:37:38]: Return=    -1.082, Steps=  83, Features = 100
 11651: E[0:04:58]-R[0:37:38]: Return=    -1.066, Steps=  67, Features = 100
 11778: E[0:05:01]-R[0:37:38]: Return=    -1.126, Steps= 127, Features = 100
 11847: E[0:05:03]-R[0:37:37]: Return=    -1.052, Steps=  53, Features = 100
 11926: E[0:05:05]-R[0:37:36]: Return=    -1.078, Steps=  79, Features = 100
 12012: E[0:05:08]-R[0:37:34]: Return=    -1.063, Steps=  64, Features = 100
 12072: E[0:05:09]-R[0:37:33]: Return=    -1.059, Steps=  60, Features = 100
 12206: E[0:05:13]-R[0:37:29]: Return=     -1.12, Steps= 121, Features = 100
 12271: E[0:05:14]-R[0:37:27]: Return=    -1.027, Steps=  28, Features = 100
 12385: E[0:05:17]-R[0:37:25]: Return=    -1.113, Steps= 114, Features = 100
 12455: E[0:05:19]-R[0:37:23]: Return=    -1.069, Steps=  70, Features = 100
 12516: E[0:05:21]-R[0:37:21]: Return=    -1.031, Steps=  32, Features = 100
 12579: E[0:05:22]-R[0:37:20]: Return=    -1.062, Steps=  63, Features = 100
 12749: E[0:05:27]-R[0:37:17]: Return=    -1.168, Steps= 169, Features = 100
 12811: E[0:05:28]-R[0:37:14]: Return=    -1.061, Steps=  62, Features = 100
 12881: E[0:05:30]-R[0:37:13]: Return=    -1.035, Steps=  36, Features = 100
 12950: E[0:05:32]-R[0:37:11]: Return=    -1.038, Steps=  39, Features = 100
 13016: E[0:05:34]-R[0:37:10]: Return=    -1.048, Steps=  49, Features = 100
 13060: E[0:05:35]-R[0:37:08]: Return=    -1.043, Steps=  44, Features = 100
 13110: E[0:05:36]-R[0:37:07]: Return=    -1.046, Steps=  47, Features = 100
 13169: E[0:05:37]-R[0:37:05]: Return=     -1.03, Steps=  31, Features = 100
 13289: E[0:05:40]-R[0:37:01]: Return=    -1.119, Steps= 120, Features = 100
 13335: E[0:05:42]-R[0:37:00]: Return=    -1.008, Steps=   9, Features = 100
 13567: E[0:05:47]-R[0:36:53]: Return=    -1.207, Steps= 208, Features = 100
 13654: E[0:05:49]-R[0:36:50]: Return=    -1.075, Steps=  76, Features = 100
 13713: E[0:05:51]-R[0:36:49]: Return=    -1.041, Steps=  42, Features = 100
 13831: E[0:05:54]-R[0:36:46]: Return=    -1.108, Steps= 109, Features = 100
 13887: E[0:05:55]-R[0:36:44]: Return=    -1.055, Steps=  56, Features = 100
 13931: E[0:05:57]-R[0:36:43]: Return=     -1.04, Steps=  41, Features = 100
 14080: E[0:06:00]-R[0:36:38]: Return=    -1.139, Steps= 140, Features = 100
 14171: E[0:06:03]-R[0:36:36]: Return=     -1.09, Steps=  91, Features = 100
 14216: E[0:06:04]-R[0:36:34]: Return=    -1.044, Steps=  45, Features = 100
 14382: E[0:06:08]-R[0:36:29]: Return=    -1.154, Steps= 155, Features = 100
 14540: E[0:06:11]-R[0:36:23]: Return=    -1.157, Steps= 158, Features = 100
 14612: E[0:06:13]-R[0:36:21]: Return=    -1.071, Steps=  72, Features = 100
 14677: E[0:06:15]-R[0:36:19]: Return=    -1.036, Steps=  37, Features = 100
 14731: E[0:06:16]-R[0:36:18]: Return=    -1.015, Steps=  16, Features = 100
 14798: E[0:06:18]-R[0:36:16]: Return=    -1.047, Steps=  48, Features = 100
 14967: E[0:06:22]-R[0:36:11]: Return=    -1.165, Steps= 166, Features = 100
 15004: E[0:06:23]-R[0:36:11]: Return=    -1.006, Steps=   7, Features = 100
 15091: E[0:06:25]-R[0:36:08]: Return=    -1.082, Steps=  83, Features = 100
 15150: E[0:06:27]-R[0:36:07]: Return=    -1.033, Steps=  34, Features = 100
 15286: E[0:06:30]-R[0:36:03]: Return=    -1.135, Steps= 136, Features = 100
 15382: E[0:06:33]-R[0:36:00]: Return=    -1.091, Steps=  92, Features = 100
 15571: E[0:06:37]-R[0:35:54]: Return=    -1.165, Steps= 166, Features = 100
 15687: E[0:06:40]-R[0:35:51]: Return=    -1.115, Steps= 116, Features = 100
 15749: E[0:06:42]-R[0:35:49]: Return=    -1.059, Steps=  60, Features = 100
 15887: E[0:06:45]-R[0:35:45]: Return=    -1.109, Steps= 110, Features = 100
 16131: E[0:06:51]-R[0:35:37]: Return=     0.757, Steps= 244, Features = 100
 16313: E[0:06:55]-R[0:35:31]: Return=    -1.143, Steps= 144, Features = 100
 16463: E[0:06:59]-R[0:35:25]: Return=    -1.148, Steps= 149, Features = 100
 16616: E[0:07:03]-R[0:35:20]: Return=    -1.126, Steps= 127, Features = 100
 16697: E[0:07:04]-R[0:35:18]: Return=    -1.079, Steps=  80, Features = 100
 16745: E[0:07:06]-R[0:35:16]: Return=    -1.017, Steps=  18, Features = 100
 16785: E[0:07:07]-R[0:35:15]: Return=    -1.006, Steps=   7, Features = 100
 16839: E[0:07:08]-R[0:35:14]: Return=    -1.026, Steps=  27, Features = 100
 16911: E[0:07:10]-R[0:35:11]: Return=     -1.07, Steps=  71, Features = 100
 17038: E[0:07:13]-R[0:35:08]: Return=     -1.09, Steps=  91, Features = 100
 17080: E[0:07:14]-R[0:35:07]: Return=    -1.015, Steps=  16, Features = 100
 17187: E[0:07:17]-R[0:35:04]: Return=    -1.106, Steps= 107, Features = 100
 17272: E[0:07:19]-R[0:35:02]: Return=    -1.065, Steps=  66, Features = 100
 17362: E[0:07:21]-R[0:35:00]: Return=    -1.066, Steps=  67, Features = 100
 17425: E[0:07:23]-R[0:34:58]: Return=    -1.024, Steps=  25, Features = 100
 17531: E[0:07:25]-R[0:34:55]: Return=    -1.083, Steps=  84, Features = 100
 17600: E[0:07:27]-R[0:34:53]: Return=    -1.068, Steps=  69, Features = 100
 17754: E[0:07:31]-R[0:34:49]: Return=    -1.119, Steps= 120, Features = 100
 17812: E[0:07:32]-R[0:34:48]: Return=    -1.046, Steps=  47, Features = 100
 17858: E[0:07:34]-R[0:34:47]: Return=    -1.044, Steps=  45, Features = 100
 17988: E[0:07:37]-R[0:34:43]: Return=    -1.129, Steps= 130, Features = 100
 18043: E[0:07:38]-R[0:34:41]: Return=    -1.054, Steps=  55, Features = 100
 18199: E[0:07:42]-R[0:34:38]: Return=    -1.129, Steps= 130, Features = 100
 18284: E[0:07:45]-R[0:34:36]: Return=    -1.065, Steps=  66, Features = 100
 18397: E[0:07:47]-R[0:34:33]: Return=    -1.112, Steps= 113, Features = 100
 18587: E[0:07:52]-R[0:34:27]: Return=    -1.168, Steps= 169, Features = 100
 18658: E[0:07:54]-R[0:34:25]: Return=    -1.057, Steps=  58, Features = 100
 18817: E[0:07:58]-R[0:34:20]: Return=    -1.158, Steps= 159, Features = 100
 18889: E[0:07:59]-R[0:34:18]: Return=     -1.07, Steps=  71, Features = 100
 19026: E[0:08:03]-R[0:34:14]: Return=    -1.136, Steps= 137, Features = 100
 19089: E[0:08:04]-R[0:34:12]: Return=    -1.062, Steps=  63, Features = 100
 19169: E[0:08:06]-R[0:34:10]: Return=    -1.079, Steps=  80, Features = 100
 19239: E[0:08:08]-R[0:34:09]: Return=    -1.054, Steps=  55, Features = 100
 19282: E[0:08:09]-R[0:34:08]: Return=    -1.016, Steps=  17, Features = 100
 19343: E[0:08:11]-R[0:34:06]: Return=    -1.044, Steps=  45, Features = 100
 19512: E[0:08:15]-R[0:34:02]: Return=    -1.168, Steps= 169, Features = 100
 19594: E[0:08:17]-R[0:33:59]: Return=    -1.078, Steps=  79, Features = 100
 19735: E[0:08:20]-R[0:33:56]: Return=     -1.14, Steps= 141, Features = 100
 19773: E[0:08:22]-R[0:33:55]: Return=     -1.03, Steps=  31, Features = 100
 19872: E[0:08:24]-R[0:33:52]: Return=    -1.082, Steps=  83, Features = 100
 19924: E[0:08:25]-R[0:33:51]: Return=    -1.018, Steps=  19, Features = 100
 19969: E[0:08:27]-R[0:33:50]: Return=    -1.038, Steps=  39, Features = 100
 20000: >>> E[0:08:27]-R[0:33:50]: Return=    -1.018, Steps=39.18, Features = 100
 20043: E[0:08:28]-R[0:33:48]: Return=        -1, Steps=   1, Features = 100
 20089: E[0:08:30]-R[0:33:48]: Return=    -1.031, Steps=  32, Features = 100
 20178: E[0:08:32]-R[0:33:46]: Return=    -1.067, Steps=  68, Features = 100
 20223: E[0:08:33]-R[0:33:45]: Return=    -1.027, Steps=  28, Features = 100
 20270: E[0:08:34]-R[0:33:43]: Return=    -1.012, Steps=  13, Features = 100
 20331: E[0:08:36]-R[0:33:42]: Return=     -1.06, Steps=  61, Features = 100
 20405: E[0:08:38]-R[0:33:40]: Return=    -1.057, Steps=  58, Features = 100
 20453: E[0:08:39]-R[0:33:39]: Return=    -1.047, Steps=  48, Features = 100
 20511: E[0:08:41]-R[0:33:37]: Return=    -1.024, Steps=  25, Features = 100
 20549: E[0:08:42]-R[0:33:36]: Return=    -1.035, Steps=  36, Features = 100
 20629: E[0:08:44]-R[0:33:34]: Return=    -1.072, Steps=  73, Features = 100
 20711: E[0:08:46]-R[0:33:32]: Return=    -1.076, Steps=  77, Features = 100
 20939: E[0:08:51]-R[0:33:26]: Return=    -1.193, Steps= 194, Features = 100
 21038: E[0:08:54]-R[0:33:23]: Return=    -1.098, Steps=  99, Features = 100
 21078: E[0:08:55]-R[0:33:22]: Return=    -1.039, Steps=  40, Features = 100
 21171: E[0:08:57]-R[0:33:19]: Return=    -1.091, Steps=  92, Features = 100
 21261: E[0:08:59]-R[0:33:17]: Return=    -1.071, Steps=  72, Features = 100
 21304: E[0:09:00]-R[0:33:16]: Return=    -1.042, Steps=  43, Features = 100
 21452: E[0:09:04]-R[0:33:12]: Return=    -1.139, Steps= 140, Features = 100
 21577: E[0:09:07]-R[0:33:08]: Return=    -1.114, Steps= 115, Features = 100
 21706: E[0:09:10]-R[0:33:05]: Return=    -1.097, Steps=  98, Features = 100
 21744: E[0:09:11]-R[0:33:04]: Return=    -1.005, Steps=   6, Features = 100
 21796: E[0:09:13]-R[0:33:03]: Return=    -1.024, Steps=  25, Features = 100
 21854: E[0:09:14]-R[0:33:02]: Return=    -1.027, Steps=  28, Features = 100
 21942: E[0:09:16]-R[0:33:00]: Return=    -1.072, Steps=  73, Features = 100
 21983: E[0:09:18]-R[0:32:59]: Return=    -1.037, Steps=  38, Features = 100
 22034: E[0:09:19]-R[0:32:57]: Return=    -1.014, Steps=  15, Features = 100
 22121: E[0:09:21]-R[0:32:55]: Return=    -1.086, Steps=  87, Features = 100
 22181: E[0:09:22]-R[0:32:53]: Return=    -1.021, Steps=  22, Features = 100
 22229: E[0:09:24]-R[0:32:52]: Return=    -1.016, Steps=  17, Features = 100
 22286: E[0:09:25]-R[0:32:51]: Return=    -1.028, Steps=  29, Features = 100
 22388: E[0:09:28]-R[0:32:48]: Return=    -1.082, Steps=  83, Features = 100
 22435: E[0:09:29]-R[0:32:47]: Return=    -1.008, Steps=   9, Features = 100
 22602: E[0:09:33]-R[0:32:42]: Return=    -1.161, Steps= 162, Features = 100
 22645: E[0:09:34]-R[0:32:41]: Return=    -1.042, Steps=  43, Features = 100
 22704: E[0:09:36]-R[0:32:40]: Return=    -1.058, Steps=  59, Features = 100
 22831: E[0:09:39]-R[0:32:37]: Return=    -1.126, Steps= 127, Features = 100
 22899: E[0:09:41]-R[0:32:35]: Return=    -1.062, Steps=  63, Features = 100
 22940: E[0:09:42]-R[0:32:33]: Return=    -1.033, Steps=  34, Features = 100
 22992: E[0:09:43]-R[0:32:32]: Return=    -1.034, Steps=  35, Features = 100
 23087: E[0:09:45]-R[0:32:29]: Return=    -1.094, Steps=  95, Features = 100
 23271: E[0:09:50]-R[0:32:26]: Return=    -1.165, Steps= 166, Features = 100
 23352: E[0:09:52]-R[0:32:24]: Return=     -1.08, Steps=  81, Features = 100
 23425: E[0:09:54]-R[0:32:22]: Return=    -1.072, Steps=  73, Features = 100
 23466: E[0:09:55]-R[0:32:21]: Return=    -1.006, Steps=   7, Features = 100
 23504: E[0:09:56]-R[0:32:21]: Return=        -1, Steps=   1, Features = 100
 23539: E[0:09:57]-R[0:32:20]: Return=        -1, Steps=   1, Features = 100
 23580: E[0:09:58]-R[0:32:19]: Return=    -1.002, Steps=   3, Features = 100
 23628: E[0:10:00]-R[0:32:18]: Return=    -1.028, Steps=  29, Features = 100
 23718: E[0:10:02]-R[0:32:15]: Return=    -1.089, Steps=  90, Features = 100
 23797: E[0:10:04]-R[0:32:13]: Return=    -1.078, Steps=  79, Features = 100
