  7178: E[0:01:18]-R[0:04:07]: Return=     0.993, Steps=   8, Features = 16
  7286: E[0:01:19]-R[0:04:05]: Return=    -1.003, Steps=   4, Features = 16
  7396: E[0:01:20]-R[0:04:03]: Return=     0.963, Steps=  38, Features = 16
  7504: E[0:01:21]-R[0:04:02]: Return=     0.993, Steps=   8, Features = 16
  7652: E[0:01:22]-R[0:04:00]: Return=     0.949, Steps=  52, Features = 16
  7766: E[0:01:23]-R[0:03:58]: Return=     0.987, Steps=  14, Features = 16
  7858: E[0:01:24]-R[0:03:57]: Return=    -1.001, Steps=   2, Features = 16
  7952: E[0:01:25]-R[0:03:56]: Return=     0.995, Steps=   6, Features = 16
  8056: E[0:01:26]-R[0:03:55]: Return=     0.987, Steps=  14, Features = 16
  8160: E[0:01:27]-R[0:03:54]: Return=     0.981, Steps=  20, Features = 16
  8292: E[0:01:29]-R[0:03:52]: Return=     0.971, Steps=  30, Features = 16
  8388: E[0:01:30]-R[0:03:51]: Return=     0.987, Steps=  14, Features = 16
  8494: E[0:01:31]-R[0:03:50]: Return=     0.991, Steps=  10, Features = 16
  8602: E[0:01:32]-R[0:03:49]: Return=     0.993, Steps=   8, Features = 16
  8702: E[0:01:33]-R[0:03:48]: Return=     0.993, Steps=   8, Features = 16
  8804: E[0:01:34]-R[0:03:46]: Return=     0.983, Steps=  18, Features = 16
  8918: E[0:01:35]-R[0:03:45]: Return=     0.983, Steps=  18, Features = 16
  9000: >>> E[0:01:36]-R[0:03:44]: Return=    0.5928, Steps=8.16, Features = 16
  9114: E[0:01:37]-R[0:03:43]: Return=     0.973, Steps=  28, Features = 16
  9234: E[0:01:38]-R[0:03:41]: Return=     0.981, Steps=  20, Features = 16
  9330: E[0:01:39]-R[0:03:40]: Return=     0.991, Steps=  10, Features = 16
  9424: E[0:01:40]-R[0:03:39]: Return=     0.995, Steps=   6, Features = 16
  9522: E[0:01:41]-R[0:03:38]: Return=     0.995, Steps=   6, Features = 16
  9642: E[0:01:42]-R[0:03:36]: Return=     0.991, Steps=  10, Features = 16
  9756: E[0:01:44]-R[0:03:35]: Return=     0.989, Steps=  12, Features = 16
  9862: E[0:01:45]-R[0:03:34]: Return=     0.995, Steps=   6, Features = 16
  9966: E[0:01:46]-R[0:03:32]: Return=     0.985, Steps=  16, Features = 16
 10070: E[0:01:47]-R[0:03:31]: Return=     0.991, Steps=  10, Features = 16
 10190: E[0:01:48]-R[0:03:29]: Return=     0.991, Steps=  10, Features = 16
 10298: E[0:01:49]-R[0:03:28]: Return=     0.993, Steps=   8, Features = 16
 10400: E[0:01:50]-R[0:03:27]: Return=     0.991, Steps=  10, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=    -1.002, Steps=3.19, Features = 81
    21: E[0:00:01]-R[0:12:36]: Return=    -1.003, Steps=   4, Features = 81
    59: E[0:00:02]-R[0:14:09]: Return=    -1.006, Steps=   7, Features = 81
   149: E[0:00:04]-R[0:13:22]: Return=    -1.056, Steps=  57, Features = 81
   197: E[0:00:05]-R[0:13:04]: Return=    -1.006, Steps=   7, Features = 81
   238: E[0:00:06]-R[0:13:02]: Return=    -1.022, Steps=  23, Features = 81
   313: E[0:00:08]-R[0:13:01]: Return=    -1.074, Steps=  75, Features = 81
   358: E[0:00:09]-R[0:12:56]: Return=    -1.008, Steps=   9, Features = 81
   405: E[0:00:11]-R[0:12:51]: Return=    -1.006, Steps=   7, Features = 81
   465: E[0:00:12]-R[0:12:42]: Return=    -1.032, Steps=  33, Features = 81
   511: E[0:00:13]-R[0:12:34]: Return=     -1.02, Steps=  21, Features = 81
   577: E[0:00:15]-R[0:12:23]: Return=    -1.046, Steps=  47, Features = 81
   633: E[0:00:16]-R[0:12:20]: Return=    -1.048, Steps=  49, Features = 81
   691: E[0:00:17]-R[0:12:18]: Return=    -1.027, Steps=  28, Features = 81
   788: E[0:00:20]-R[0:12:06]: Return=    -1.096, Steps=  97, Features = 81
   857: E[0:00:21]-R[0:12:03]: Return=    -1.026, Steps=  27, Features = 81
   929: E[0:00:23]-R[0:11:55]: Return=    -1.055, Steps=  56, Features = 81
  1036: E[0:00:25]-R[0:11:48]: Return=    -1.098, Steps=  99, Features = 81
  1252: E[0:00:30]-R[0:11:35]: Return=    -1.181, Steps= 182, Features = 81
  1348: E[0:00:32]-R[0:11:30]: Return=    -1.074, Steps=  75, Features = 81
  1483: E[0:00:35]-R[0:11:23]: Return=    -1.106, Steps= 107, Features = 81
  1529: E[0:00:37]-R[0:11:21]: Return=    -1.006, Steps=   7, Features = 81
  1635: E[0:00:39]-R[0:11:15]: Return=    -1.076, Steps=  77, Features = 81
  1688: E[0:00:40]-R[0:11:14]: Return=    -1.015, Steps=  16, Features = 81
  1758: E[0:00:42]-R[0:11:12]: Return=    -1.059, Steps=  60, Features = 81
  1907: E[0:00:45]-R[0:11:08]: Return=     -1.13, Steps= 131, Features = 81
  1983: E[0:00:47]-R[0:11:04]: Return=    -1.071, Steps=  72, Features = 81
  2056: E[0:00:49]-R[0:11:01]: Return=     -1.07, Steps=  71, Features = 81
  2107: E[0:00:50]-R[0:11:00]: Return=    -1.016, Steps=  17, Features = 81
  2236: E[0:00:53]-R[0:10:55]: Return=    -1.112, Steps= 113, Features = 81
  2294: E[0:00:54]-R[0:10:53]: Return=    -1.057, Steps=  58, Features = 81
  2357: E[0:00:56]-R[0:10:51]: Return=     -1.04, Steps=  41, Features = 81
  2445: E[0:00:58]-R[0:10:49]: Return=    -1.075, Steps=  76, Features = 81
  2533: E[0:01:00]-R[0:10:45]: Return=    -1.056, Steps=  57, Features = 81
  2624: E[0:01:02]-R[0:10:43]: Return=    -1.046, Steps=  47, Features = 81
  2719: E[0:01:04]-R[0:10:39]: Return=     0.911, Steps=  90, Features = 81
  2840: E[0:01:06]-R[0:10:36]: Return=    -1.101, Steps= 102, Features = 81
  2949: E[0:01:09]-R[0:10:32]: Return=    -1.107, Steps= 108, Features = 81
  3000: >>> E[0:01:10]-R[0:10:32]: Return=    -1.041, Steps=42.16, Features = 81
  3163: E[0:01:14]-R[0:10:27]: Return=    -1.156, Steps= 157, Features = 81
  3227: E[0:01:15]-R[0:10:25]: Return=    -1.062, Steps=  63, Features = 81
  3342: E[0:01:18]-R[0:10:22]: Return=    -1.087, Steps=  88, Features = 81
  3619: E[0:01:24]-R[0:10:14]: Return=    -1.276, Steps= 277, Features = 81
  3662: E[0:01:25]-R[0:10:13]: Return=    -1.001, Steps=   2, Features = 81
  3733: E[0:01:27]-R[0:10:11]: Return=     -1.07, Steps=  71, Features = 81
  3886: E[0:01:30]-R[0:10:07]: Return=    -1.152, Steps= 153, Features = 81
  4015: E[0:01:33]-R[0:10:03]: Return=    -1.111, Steps= 112, Features = 81
  4155: E[0:01:36]-R[0:09:59]: Return=    -1.118, Steps= 119, Features = 81
  4287: E[0:01:39]-R[0:09:56]: Return=    -1.089, Steps=  90, Features = 81
  4375: E[0:01:41]-R[0:09:54]: Return=    -1.054, Steps=  55, Features = 81
  4479: E[0:01:44]-R[0:09:51]: Return=    -1.092, Steps=  93, Features = 81
  4528: E[0:01:45]-R[0:09:50]: Return=    -1.026, Steps=  27, Features = 81
  4582: E[0:01:46]-R[0:09:49]: Return=    -1.053, Steps=  54, Features = 81
  4812: E[0:01:52]-R[0:09:44]: Return=    -1.202, Steps= 203, Features = 81
  4965: E[0:01:55]-R[0:09:40]: Return=    -1.152, Steps= 153, Features = 81
  5005: E[0:01:56]-R[0:09:40]: Return=    -1.004, Steps=   5, Features = 81
  5086: E[0:01:58]-R[0:09:38]: Return=    -1.064, Steps=  65, Features = 81
  5146: E[0:01:59]-R[0:09:36]: Return=    -1.059, Steps=  60, Features = 81
  5237: E[0:02:01]-R[0:09:34]: Return=     -1.09, Steps=  91, Features = 81
  5284: E[0:02:02]-R[0:09:33]: Return=    -1.036, Steps=  37, Features = 81
  5360: E[0:02:04]-R[0:09:31]: Return=    -1.057, Steps=  58, Features = 81
  5493: E[0:02:07]-R[0:09:28]: Return=    -1.132, Steps= 133, Features = 81
