     0: >>> E[0:00:00]-R[?]: Return=    -1.007, Steps=7.86, Features = 81
    45: E[0:00:01]-R[0:11:40]: Return=     -1.03, Steps=  31, Features = 81
    86: E[0:00:02]-R[0:11:55]: Return=     -1.04, Steps=  41, Features = 81
   172: E[0:00:04]-R[0:11:38]: Return=     0.919, Steps=  82, Features = 81
   241: E[0:00:06]-R[0:11:38]: Return=    -1.049, Steps=  50, Features = 81
   277: E[0:00:07]-R[0:11:55]: Return=        -1, Steps=   1, Features = 81
   360: E[0:00:08]-R[0:11:39]: Return=    -1.081, Steps=  82, Features = 81
   415: E[0:00:10]-R[0:11:34]: Return=    -1.054, Steps=  55, Features = 81
   489: E[0:00:11]-R[0:11:25]: Return=    -1.036, Steps=  37, Features = 81
   532: E[0:00:12]-R[0:11:27]: Return=    -1.008, Steps=   9, Features = 81
   624: E[0:00:15]-R[0:11:34]: Return=    -1.089, Steps=  90, Features = 81
   682: E[0:00:16]-R[0:11:34]: Return=    -1.023, Steps=  24, Features = 81
   725: E[0:00:17]-R[0:11:34]: Return=    -1.004, Steps=   5, Features = 81
   827: E[0:00:20]-R[0:11:29]: Return=    -1.076, Steps=  77, Features = 81
   889: E[0:00:21]-R[0:11:26]: Return=    -1.045, Steps=  46, Features = 81
   943: E[0:00:22]-R[0:11:25]: Return=    -1.041, Steps=  42, Features = 81
  1118: E[0:00:26]-R[0:11:16]: Return=    -1.159, Steps= 160, Features = 81
  1205: E[0:00:28]-R[0:11:12]: Return=     -1.07, Steps=  71, Features = 81
  1248: E[0:00:29]-R[0:11:12]: Return=    -1.042, Steps=  43, Features = 81
  1326: E[0:00:31]-R[0:11:07]: Return=    -1.073, Steps=  74, Features = 81
  1370: E[0:00:32]-R[0:11:09]: Return=    -1.006, Steps=   7, Features = 81
  1482: E[0:00:34]-R[0:11:03]: Return=    -1.068, Steps=  69, Features = 81
  1522: E[0:00:35]-R[0:11:04]: Return=    -1.003, Steps=   4, Features = 81
  1571: E[0:00:37]-R[0:11:04]: Return=    -1.011, Steps=  12, Features = 81
  1618: E[0:00:38]-R[0:11:05]: Return=    -1.029, Steps=  30, Features = 81
  1668: E[0:00:39]-R[0:11:04]: Return=    -1.047, Steps=  48, Features = 81
  1759: E[0:00:41]-R[0:11:02]: Return=    -1.079, Steps=  80, Features = 81
  1806: E[0:00:42]-R[0:11:01]: Return=    -1.022, Steps=  23, Features = 81
  1937: E[0:00:45]-R[0:10:56]: Return=     -1.13, Steps= 131, Features = 81
  2008: E[0:00:47]-R[0:10:54]: Return=    -1.033, Steps=  34, Features = 81
  2082: E[0:00:49]-R[0:10:51]: Return=    -1.073, Steps=  74, Features = 81
  2123: E[0:00:50]-R[0:10:52]: Return=    -1.009, Steps=  10, Features = 81
  2183: E[0:00:51]-R[0:10:51]: Return=     -1.02, Steps=  21, Features = 81
  2248: E[0:00:53]-R[0:10:49]: Return=    -1.035, Steps=  36, Features = 81
  2334: E[0:00:55]-R[0:10:46]: Return=    -1.085, Steps=  86, Features = 81
  2390: E[0:00:56]-R[0:10:44]: Return=    -1.055, Steps=  56, Features = 81
  2474: E[0:00:58]-R[0:10:42]: Return=    -1.072, Steps=  73, Features = 81
  2756: E[0:01:04]-R[0:10:32]: Return=    -1.281, Steps= 282, Features = 81
  2816: E[0:01:05]-R[0:10:30]: Return=    -1.058, Steps=  59, Features = 81
  2920: E[0:01:08]-R[0:10:27]: Return=    -1.096, Steps=  97, Features = 81
  3000: >>> E[0:01:09]-R[0:10:25]: Return=   -0.9091, Steps=50.13, Features = 81
  3098: E[0:01:12]-R[0:10:22]: Return=    -1.074, Steps=  75, Features = 81
  3262: E[0:01:15]-R[0:10:17]: Return=    -1.163, Steps= 164, Features = 81
  3322: E[0:01:17]-R[0:10:16]: Return=    -1.024, Steps=  25, Features = 81
  3370: E[0:01:18]-R[0:10:15]: Return=     0.961, Steps=  40, Features = 81
  3446: E[0:01:19]-R[0:10:12]: Return=     -1.07, Steps=  71, Features = 81
  3496: E[0:01:21]-R[0:10:11]: Return=    -1.038, Steps=  39, Features = 81
  3549: E[0:01:22]-R[0:10:10]: Return=     0.949, Steps=  52, Features = 81
  3603: E[0:01:23]-R[0:10:09]: Return=    -1.053, Steps=  54, Features = 81
  3738: E[0:01:26]-R[0:10:04]: Return=    -1.134, Steps= 135, Features = 81
  3873: E[0:01:29]-R[0:10:01]: Return=    -1.111, Steps= 112, Features = 81
  3985: E[0:01:32]-R[0:09:58]: Return=    -1.111, Steps= 112, Features = 81
  4046: E[0:01:33]-R[0:09:56]: Return=     -1.06, Steps=  61, Features = 81
  4110: E[0:01:34]-R[0:09:54]: Return=    -1.063, Steps=  64, Features = 81
  4270: E[0:01:38]-R[0:09:51]: Return=    -1.158, Steps= 159, Features = 81
  4341: E[0:01:40]-R[0:09:49]: Return=     -1.07, Steps=  71, Features = 81
  4539: E[0:01:44]-R[0:09:44]: Return=    -1.166, Steps= 167, Features = 81
  4622: E[0:01:46]-R[0:09:42]: Return=     0.919, Steps=  82, Features = 81
  4668: E[0:01:47]-R[0:09:41]: Return=     0.955, Steps=  46, Features = 81
  4734: E[0:01:48]-R[0:09:39]: Return=    -1.058, Steps=  59, Features = 81
  4782: E[0:01:50]-R[0:09:38]: Return=    -1.029, Steps=  30, Features = 81
  4890: E[0:01:52]-R[0:09:36]: Return=    -1.089, Steps=  90, Features = 81
