     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    52: E[0:00:01]-R[0:06:05]: Return=    -1.005, Steps=   6, Features = 16
   164: E[0:00:02]-R[0:05:20]: Return=     0.989, Steps=  12, Features = 16
   260: E[0:00:03]-R[0:05:24]: Return=     0.989, Steps=  12, Features = 16
   366: E[0:00:04]-R[0:05:18]: Return=     0.991, Steps=  10, Features = 16
   464: E[0:00:05]-R[0:05:18]: Return=     0.987, Steps=  14, Features = 16
   574: E[0:00:06]-R[0:05:14]: Return=     0.987, Steps=  14, Features = 16
   670: E[0:00:07]-R[0:05:14]: Return=     0.995, Steps=   6, Features = 16
   776: E[0:00:08]-R[0:05:10]: Return=     0.987, Steps=  14, Features = 16
   880: E[0:00:09]-R[0:05:05]: Return=     0.993, Steps=   8, Features = 16
   996: E[0:00:10]-R[0:04:58]: Return=    -1.001, Steps=   2, Features = 16
  1112: E[0:00:11]-R[0:04:54]: Return=    -1.009, Steps=  10, Features = 16
  1228: E[0:00:12]-R[0:04:51]: Return=     0.985, Steps=  16, Features = 16
  1318: E[0:00:13]-R[0:04:53]: Return=     0.989, Steps=  12, Features = 16
  1424: E[0:00:15]-R[0:04:51]: Return=     0.993, Steps=   8, Features = 16
  1518: E[0:00:16]-R[0:04:53]: Return=     0.991, Steps=  10, Features = 16
  1630: E[0:00:17]-R[0:04:50]: Return=    -1.005, Steps=   6, Features = 16
  1742: E[0:00:18]-R[0:04:46]: Return=     0.989, Steps=  12, Features = 16
  1852: E[0:00:19]-R[0:04:44]: Return=     0.993, Steps=   8, Features = 16
  1968: E[0:00:20]-R[0:04:41]: Return=     0.993, Steps=   8, Features = 16
  2058: E[0:00:21]-R[0:04:42]: Return=     0.995, Steps=   6, Features = 16
  2148: E[0:00:22]-R[0:04:43]: Return=     0.991, Steps=  10, Features = 16
  2246: E[0:00:23]-R[0:04:44]: Return=     0.989, Steps=  12, Features = 16
  2336: E[0:00:24]-R[0:04:44]: Return=     0.991, Steps=  10, Features = 16
  2408: E[0:00:25]-R[0:04:47]: Return=     0.993, Steps=   8, Features = 16
  2510: E[0:00:26]-R[0:04:46]: Return=     0.989, Steps=  12, Features = 16
  2586: E[0:00:27]-R[0:04:48]: Return=     0.991, Steps=  10, Features = 16
  2672: E[0:00:28]-R[0:04:48]: Return=     0.993, Steps=   8, Features = 16
  2768: E[0:00:29]-R[0:04:48]: Return=     0.993, Steps=   8, Features = 16
  2862: E[0:00:30]-R[0:04:47]: Return=     0.993, Steps=   8, Features = 16
  2960: E[0:00:31]-R[0:04:47]: Return=     0.993, Steps=   8, Features = 16
  3000: >>> E[0:00:32]-R[0:04:48]: Return=    0.5939, Steps=7.06, Features = 16
  3094: E[0:00:33]-R[0:04:47]: Return=    -1.003, Steps=   4, Features = 16
  3188: E[0:00:34]-R[0:04:46]: Return=     0.989, Steps=  12, Features = 16
  3292: E[0:00:35]-R[0:04:44]: Return=     0.991, Steps=  10, Features = 16
  3380: E[0:00:36]-R[0:04:44]: Return=     0.991, Steps=  10, Features = 16
  3470: E[0:00:37]-R[0:04:43]: Return=     0.985, Steps=  16, Features = 16
  3566: E[0:00:38]-R[0:04:42]: Return=     0.989, Steps=  12, Features = 16
  3652: E[0:00:39]-R[0:04:42]: Return=     0.993, Steps=   8, Features = 16
  3746: E[0:00:40]-R[0:04:41]: Return=     0.993, Steps=   8, Features = 16
  3836: E[0:00:41]-R[0:04:41]: Return=    -1.001, Steps=   2, Features = 16
  3928: E[0:00:42]-R[0:04:40]: Return=     0.991, Steps=  10, Features = 16
  4028: E[0:00:43]-R[0:04:39]: Return=     0.993, Steps=   8, Features = 16
  4112: E[0:00:44]-R[0:04:39]: Return=     0.995, Steps=   6, Features = 16
  4206: E[0:00:45]-R[0:04:38]: Return=     0.995, Steps=   6, Features = 16
  4288: E[0:00:46]-R[0:04:38]: Return=     0.993, Steps=   8, Features = 16
  4376: E[0:00:47]-R[0:04:37]: Return=     0.989, Steps=  12, Features = 16
  4456: E[0:00:48]-R[0:04:38]: Return=     0.991, Steps=  10, Features = 16
  4532: E[0:00:49]-R[0:04:38]: Return=    -1.005, Steps=   6, Features = 16
  4612: E[0:00:50]-R[0:04:38]: Return=     0.995, Steps=   6, Features = 16
  4708: E[0:00:52]-R[0:04:37]: Return=     0.987, Steps=  14, Features = 16
  4796: E[0:00:53]-R[0:04:37]: Return=     0.987, Steps=  14, Features = 16
  4894: E[0:00:54]-R[0:04:36]: Return=     0.993, Steps=   8, Features = 16
  4996: E[0:00:55]-R[0:04:34]: Return=     0.993, Steps=   8, Features = 16
  5098: E[0:00:56]-R[0:04:33]: Return=     0.993, Steps=   8, Features = 16
  5194: E[0:00:57]-R[0:04:32]: Return=     0.993, Steps=   8, Features = 16
  5292: E[0:00:58]-R[0:04:31]: Return=     0.991, Steps=  10, Features = 16
  5382: E[0:00:59]-R[0:04:30]: Return=     0.987, Steps=  14, Features = 16
  5476: E[0:01:00]-R[0:04:29]: Return=     0.995, Steps=   6, Features = 16
  5568: E[0:01:01]-R[0:04:28]: Return=    -1.003, Steps=   4, Features = 16
  5654: E[0:01:02]-R[0:04:27]: Return=     0.985, Steps=  16, Features = 16
  5770: E[0:01:03]-R[0:04:25]: Return=     0.989, Steps=  12, Features = 16
  5868: E[0:01:04]-R[0:04:23]: Return=     0.995, Steps=   6, Features = 16
  5964: E[0:01:05]-R[0:04:22]: Return=     0.995, Steps=   6, Features = 16
  6000: >>> E[0:01:05]-R[0:04:22]: Return=    0.5139, Steps= 7.1, Features = 16
  6100: E[0:01:06]-R[0:04:21]: Return=     0.991, Steps=  10, Features = 16
  6204: E[0:01:08]-R[0:04:19]: Return=     0.993, Steps=   8, Features = 16
  6312: E[0:01:09]-R[0:04:18]: Return=     0.991, Steps=  10, Features = 16
  6406: E[0:01:10]-R[0:04:16]: Return=     0.993, Steps=   8, Features = 16
  6502: E[0:01:11]-R[0:04:15]: Return=     0.991, Steps=  10, Features = 16
  6602: E[0:01:12]-R[0:04:14]: Return=     0.987, Steps=  14, Features = 16
  6674: E[0:01:13]-R[0:04:14]: Return=     0.993, Steps=   8, Features = 16
  6754: E[0:01:14]-R[0:04:14]: Return=     0.987, Steps=  14, Features = 16
  6836: E[0:01:15]-R[0:04:14]: Return=     0.995, Steps=   6, Features = 16
  6916: E[0:01:16]-R[0:04:13]: Return=     0.991, Steps=  10, Features = 16
  7000: E[0:01:17]-R[0:04:13]: Return=     0.985, Steps=  16, Features = 16
  7088: E[0:01:18]-R[0:04:12]: Return=     0.993, Steps=   8, Features = 16
  7194: E[0:01:19]-R[0:04:11]: Return=     0.987, Steps=  14, Features = 16
  7298: E[0:01:20]-R[0:04:09]: Return=     0.993, Steps=   8, Features = 16
  7410: E[0:01:21]-R[0:04:07]: Return=     0.995, Steps=   6, Features = 16
  7508: E[0:01:22]-R[0:04:06]: Return=     0.995, Steps=   6, Features = 16
  7610: E[0:01:23]-R[0:04:05]: Return=     0.993, Steps=   8, Features = 16
  7718: E[0:01:24]-R[0:04:03]: Return=     0.985, Steps=  16, Features = 16
  7814: E[0:01:25]-R[0:04:02]: Return=     0.993, Steps=   8, Features = 16
  7904: E[0:01:26]-R[0:04:01]: Return=     0.995, Steps=   6, Features = 16
  7988: E[0:01:27]-R[0:04:01]: Return=     0.991, Steps=  10, Features = 16
  8074: E[0:01:29]-R[0:04:00]: Return=     0.995, Steps=   6, Features = 16
  8164: E[0:01:30]-R[0:04:00]: Return=     0.993, Steps=   8, Features = 16
  8250: E[0:01:31]-R[0:03:59]: Return=     0.993, Steps=   8, Features = 16
  8342: E[0:01:32]-R[0:03:58]: Return=    -1.005, Steps=   6, Features = 16
  8440: E[0:01:33]-R[0:03:57]: Return=     0.995, Steps=   6, Features = 16
  8530: E[0:01:34]-R[0:03:56]: Return=     0.987, Steps=  14, Features = 16
  8610: E[0:01:35]-R[0:03:56]: Return=     0.991, Steps=  10, Features = 16
  8706: E[0:01:36]-R[0:03:54]: Return=     0.993, Steps=   8, Features = 16
  8808: E[0:01:37]-R[0:03:53]: Return=     0.991, Steps=  10, Features = 16
  8902: E[0:01:38]-R[0:03:52]: Return=     0.993, Steps=   8, Features = 16
  8984: E[0:01:39]-R[0:03:51]: Return=     0.995, Steps=   6, Features = 16
  9000: >>> E[0:01:39]-R[0:03:52]: Return=    0.6539, Steps=7.08, Features = 16
